S.no,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,Target
435,3792,4,1,2,1,2,2,no,2,0,no,semi,3290000
436,4040,2,1,1,1,2,2,no,2,0,no,empty,3290000
437,2145,3,1,2,1,2,1,no,2,0,yes,full,3290000
438,5880,3,1,1,1,2,2,no,2,1,no,empty,3290000
439,4500,2,1,1,2,2,2,no,2,0,no,semi,3255000
440,3930,2,1,1,2,2,2,no,2,0,no,empty,3255000
441,3640,4,1,2,1,2,1,no,2,0,no,empty,3234000
442,4370,3,1,2,1,2,2,no,2,0,no,empty,3220000
443,2684,2,1,1,1,2,2,no,1,1,no,empty,3220000
444,4320,3,1,1,2,2,2,no,2,1,no,empty,3220000
445,3120,3,1,2,2,2,2,no,2,0,no,full,3220000
446,3450,1,-1,1,1,2,2,no,2,0,no,full,3150000
447,3986,2,2,1,2,1,1,no,2,1,no,empty,3150000
448,3500,2,1,1,2,2,1,no,2,0,no,semi,3150000
449,4095,2,1,1,1,2,2,no,2,2,no,semi,3150000
450,0,3,1,2,2,2,1,no,2,0,no,empty,3150000
451,3450,3,1,2,1,2,1,no,2,0,no,semi,3150000
452,6750,2,1,1,1,2,2,no,2,0,no,semi,3150000
453,9000,3,1,2,1,2,2,no,2,2,no,semi,3150000
454,3069,2,1,1,1,2,2,no,2,1,no,empty,3150000
455,4500,3,1,2,1,2,2,no,1,0,no,empty,3143000
456,5495,3,1,1,1,2,1,no,2,0,no,empty,3129000
457,2398,3,1,1,1,2,2,no,2,0,yes,semi,3118850
458,3000,3,1,1,2,2,2,no,1,0,no,empty,3115000
459,3850,3,1,2,1,2,2,no,2,0,no,empty,3115000
460,3500,2,1,1,1,2,2,no,2,0,no,empty,3115000
461,8100,2,1,1,1,2,2,no,2,1,no,empty,3087000
462,4960,2,1,1,1,2,1,no,1,0,no,empty,3080000
463,2160,3,1,2,2,2,1,no,2,0,no,semi,3080000
464,3090,2,1,1,1,1,1,no,2,0,no,empty,3080000
465,4500,2,1,2,1,2,2,yes,2,1,no,semi,3080000
466,3800,2,1,1,1,2,2,no,2,0,no,empty,3045000
467,3090,3,1,2,2,2,2,no,2,0,no,semi,3010000
468,3240,3,1,2,1,2,2,no,2,2,no,semi,3010000
469,2835,2,1,1,1,2,2,no,2,0,no,semi,3010000
470,4600,2,1,1,1,2,2,no,2,0,no,full,3010000
471,5076,3,1,1,2,2,2,no,2,0,no,empty,3010000
472,3750,3,1,2,1,2,2,no,2,0,no,empty,3010000
473,3630,4,1,2,1,2,2,no,2,3,no,semi,3010000
474,8050,2,1,1,1,2,2,no,2,0,no,empty,3003000
475,4352,4,1,2,2,2,2,no,2,1,no,empty,2975000
476,3000,2,1,2,1,2,2,no,2,0,no,semi,2961000
477,5850,3,1,2,1,2,1,no,2,1,no,empty,2940000
478,4960,2,1,1,1,2,2,no,2,0,no,empty,2940000
479,3600,3,1,2,2,2,2,no,2,1,no,empty,2940000
480,3660,4,1,2,2,2,2,no,2,0,no,empty,2940000
481,3480,3,1,2,2,2,2,no,2,1,no,semi,2940000
482,2700,2,1,1,2,2,2,no,2,0,no,full,2940000
483,3150,3,1,2,2,2,2,no,2,0,no,empty,2940000
484,6615,3,1,2,1,2,2,no,2,0,no,semi,2940000
485,3040,2,1,1,2,2,2,no,2,0,no,empty,2870000
486,3630,2,1,1,1,2,2,no,2,0,no,empty,2870000
487,6000,2,1,1,1,2,2,no,2,0,no,semi,2870000
488,5400,4,1,2,1,2,2,no,2,0,no,empty,2870000
489,5200,4,1,3,1,2,2,no,2,0,no,empty,2852500
490,3300,3,1,2,2,2,2,no,2,1,no,semi,2835000
491,4350,3,1,2,2,2,2,yes,2,1,no,empty,2835000
492,2640,2,1,1,2,2,2,no,2,1,no,full,2835000
493,2650,3,1,2,1,2,1,no,2,1,no,empty,2800000
494,3960,3,1,1,??,2,2,no,2,0,no,full,2800000
495,6800,2,1,1,1,2,2,no,2,0,no,empty,2730000
496,4000,3,1,2,1,2,2,no,2,1,no,empty,2730000
497,4000,2,1,1,1,2,2,no,2,0,no,empty,2695000
498,3934,2,1,1,1,2,2,no,2,0,no,empty,2660000
499,2000,2,1,2,1,2,2,no,2,0,no,semi,2660000
500,3630,3,3,2,2,1,2,no,2,0,no,empty,2660000
501,2800,3,1,1,1,2,2,no,2,0,no,empty,2660000
502,2430,3,1,1,2,2,2,no,2,0,no,empty,2660000
503,3480,2,1,1,1,2,2,no,2,1,no,semi,2660000
504,4000,3,1,1,1,2,2,no,2,0,no,semi,2660000
505,3185,2,1,1,1,2,2,no,1,0,no,empty,2653000
506,4000,3,1,2,1,2,2,no,1,0,no,empty,2653000
507,2910,2,1,1,2,2,2,no,2,0,no,empty,2604000
508,3600,2,1,1,1,2,2,no,2,0,no,empty,2590000
509,4400,2,1,1,1,2,2,no,2,0,no,empty,2590000
510,3600,2,2,2,1,2,1,no,2,1,no,full,2590000
511,2880,3,1,1,2,2,2,no,2,0,no,empty,2520000
512,3180,3,1,1,2,2,2,no,2,0,no,empty,2520000
513,3000,2,1,2,1,2,2,no,2,0,no,full,2520000
514,4400,3,1,2,1,2,2,no,2,0,no,empty,2485000
515,3000,3,1,2,2,2,2,no,2,0,no,semi,2485000
516,3210,3,1,2,1,2,1,no,2,0,no,empty,2450000
517,3240,2,1,1,2,1,2,no,2,1,no,empty,2450000
518,3000,2,1,1,1,2,2,no,2,1,no,empty,2450000
519,3500,2,1,1,1,1,2,no,2,0,no,empty,2450000
520,4840,2,1,2,1,2,2,no,2,0,no,empty,2450000
521,7700,2,1,1,1,2,2,no,2,0,no,empty,2450000
522,3635,2,1,1,2,2,2,no,2,0,no,empty,2408000
523,2475,3,1,2,1,2,2,no,2,0,no,full,2380000
524,2787,4,2,2,1,2,2,no,2,0,no,full,2380000
525,3264,2,1,1,1,2,2,no,2,0,no,empty,2380000
526,3640,2,1,1,1,2,2,no,2,0,no,empty,2345000
527,3180,2,1,1,1,2,2,no,2,0,no,empty,2310000
528,1836,2,1,1,2,2,1,no,2,0,no,semi,2275000
529,3970,100,1,1,2,2,2,no,2,0,no,empty,2275000
530,3970,3,1,2,1,2,1,no,2,0,no,empty,2275000
531,1950,3,1,1,2,2,2,yes,2,0,no,empty,2240000
532,5300,3,1,1,2,2,2,no,1,0,yes,empty,2233000
533,3000,2,1,1,2,2,2,no,2,0,no,empty,2135000
534,2400,3,1,2,1,2,2,no,2,0,no,empty,2100000
535,3000,4,1,2,1,2,2,no,2,0,no,empty,2100000
536,3360,2,1,1,1,2,2,no,2,1,no,empty,2100000
537,3420,5,1,2,2,2,2,no,2,0,no,empty,1960000
538,1700,3,1,2,1,2,2,no,2,0,no,empty,1890000
539,3649,2,1,1,1,2,2,no,2,0,no,empty,1890000
540,2990,2,1,1,2,2,2,no,2,1,no,empty,1855000
541,3000,2,1,1,1,2,1,no,2,2,no,empty,1820000
542,2400,3,1,1,2,2,2,no,2,0,no,semi,1767150
543,3620,2,1,1,1,2,2,no,2,0,no,empty,1750000
544,2910,3,1,1,2,2,2,no,2,0,no,full,1750000
545,3850,3,1,2,1,2,2,no,2,0,no,empty,1750000
546,8100,4,1,2,1,1,1,no,1,2,yes,full,9870000
547,5750,3,2,4,1,1,2,no,1,1,yes,empty,9800000
548,13200,3,1,2,1,2,1,no,1,2,yes,full,9800000
549,6000,4,3,2,1,1,1,yes,2,2,no,semi,9681000
550,6550,4,2,2,1,2,2,no,1,1,yes,semi,9310000
551,3500,4,2,2,1,2,2,yes,2,2,no,full,9240000
552,7800,3,2,2,1,2,2,no,2,0,yes,semi,9240000
553,6000,4,1,2,1,2,1,no,2,2,no,semi,9100000
554,6600,4,2,2,1,1,1,no,1,1,yes,empty,9100000
555,8500,3,2,4,1,2,2,no,1,2,no,full,8960000
556,4600,3,2,2,1,1,2,no,1,2,no,full,8890000
557,3000,4,1,2,1,2,2,no,2,0,no,empty,2100000
558,3360,2,1,1,1,2,2,no,2,1,no,empty,2100000
559,3420,5,1,2,2,2,2,no,2,0,no,empty,1960000
560,1700,3,1,2,1,2,2,no,2,0,no,empty,1890000
561,8050,2,1,1,1,2,2,no,2,0,no,empty,3003000
562,4352,4,1,2,2,2,2,no,2,1,no,empty,2975000
563,3000,2,1,2,1,2,2,no,2,0,no,semi,2961000
564,5850,3,1,2,1,2,1,no,2,1,no,empty,2940000
565,4960,2,1,1,1,2,2,no,2,0,no,empty,2940000
566,3600,3,1,2,2,2,2,no,2,1,no,empty,2940000
567,3660,4,1,2,2,2,2,no,2,0,no,empty,2940000
568,3150,3,1,2,1,2,1,no,2,0,no,full,3570000
569,4500,4,2,2,1,2,1,no,2,2,no,full,3570000
570,4500,2,1,1,2,2,2,no,2,0,no,full,3570000
571,3640,2,1,1,1,2,2,no,2,0,no,empty,3570000
572,3850,3,1,1,1,2,2,no,2,2,no,empty,3535000
573,4240,3,1,2,1,2,2,no,1,0,no,semi,3500000
574,3650,3,1,2,1,2,2,no,2,0,no,empty,3500000
575,3520,2,1,2,1,2,2,no,2,0,yes,full,4515000
576,4510,4,1,2,1,2,2,no,1,2,no,semi,4480000
577,5885,2,1,1,1,2,2,no,1,1,no,empty,4480000
578,4000,3,1,2,1,2,2,no,2,2,no,full,4480000
579,8250,3,1,1,1,2,2,no,2,0,no,full,4480000
580,4040,3,1,2,1,2,2,no,2,1,no,semi,4480000
581,6360,2,1,1,1,2,1,no,1,1,no,full,4473000
582,3162,3,1,2,1,2,2,no,1,1,no,full,4473000
583,3510,3,1,2,1,2,2,no,2,0,no,semi,4473000
584,7410,3,1,1,1,1,1,no,1,2,yes,empty,6475000
585,8580,5,3,2,1,2,2,no,2,2,no,full,6440000
586,5000,3,1,2,1,2,2,no,1,0,no,semi,6440000
587,6750,2,1,1,1,1,1,no,2,2,yes,full,6419000
588,4800,3,2,4,1,1,2,no,1,0,no,full,6405000
589,7200,3,2,1,1,2,1,no,1,3,no,semi,6300000
590,6000,4,2,4,1,2,2,no,2,1,no,semi,6300000
591,4100,3,2,3,1,2,2,no,1,2,no,semi,6300000
592,9000,3,1,1,1,2,1,no,2,1,yes,full,6300000
593,6400,3,1,1,1,1,1,no,1,1,yes,semi,6300000
594,6600,3,2,3,1,2,2,no,1,0,yes,empty,6293000
595,6000,4,1,3,1,1,1,no,2,0,yes,empty,6265000
596,6600,3,2,1,1,2,1,no,1,0,yes,empty,6230000
597,5500,3,1,3,1,2,2,no,2,1,yes,empty,6230000
598,6600,4,2,1,1,2,1,no,2,0,yes,semi,5600000
599,5136,3,1,2,1,1,1,no,1,0,yes,empty,5600000
600,4400,4,1,2,1,2,2,no,1,2,yes,semi,5565000
